id,name
24285,Beautiful Duplex Apartment
25406,"Modern Brooklyn Apt., August sublet"
25696,"1,800 sq foot in luxury building"
26362,"Times Square, Safe, Clean and Cozy!"
26785,Park Slope Green Guest House
27006,Comfortable UWS 2-BD Family-Friendly Brownstone
27644,Sugar Hill Rest Stop
27883,East Village Sanctuary
28321,2BR in a 3BR Bklyn apt. nxt  2 Q Trn. Mth-Mth only
28907,Garden studio in the Upper East Sid
29013,B & B Room 1
29628,"Comfortable, Sunny Room"
29683,Stylish Apartment with office space Near SoHo!
31130,MOST CENTRAL LOCATION
31555,Luminous Beautiful West Village Studio
31902,Sanctuary in East Flatbush
31994,Room with En Suite Bathroom & Deck
32329,Fully Furnished Beautiful 1 Bedroom
33009,Retreat in Williamsburg
33014,NYC Zen
33156,"Sunny, Clean Zen Home w pr.Bath"
36442,Great location. Spacious 2BR near PROSPECT PARK
36647,Private Bdrm/Bathrm. New! Elevator!
36703,"Sunny, clean 1 bdrm in W. Village"
38663,Luxury Brownstone in Boerum Hill
39572,1 br in a 2 br apt (Midtown West)
39586,Big room w/private bathroom and great Hudson view
39593,A room of own with a Manhattan view
39704,"Private, Large & Sunny 1BR w/W&D"
42300,Beautiful Lower East Side Loft
42729,House On Henry (2nd FLR Suite)
42882,New York room with a view
43726,"Apartment in Tribeca, NYC Panoramic VIEWS~"
44096,Room with a View
44229,BROOKLYN VICTORIAN STYLE SUITE.....
44288,Private studio in West Village on quite street
44973,Creative South Williamsburg Studio
45542,Clean and Cozy Harlem Apartment
45556,"Fort Greene, Brooklyn: Center Bedroom"
45910,Beautiful Queens Brownstone! - 5BR
45935,Room in Beautiful Townhouse.
45936,Couldn't Be Closer To Columbia Uni
46544,Park Slope haven 15 mins from Soho
46911,Large Room in private Brownstone in Park Slope
47613,"BIG, COMFY ROOM W/YARD IN WILL-B"
49048,B and B Style Rooms for Rent w bath
50447,"Lovely Apt & Garden;  Legal; Amenities, Spotless"
51438,1 Bedroom in 2 Bdrm Apt- Upper East
51850,( F) Excellent/Pvt Rm
52689,Astoria/Ditmars 2BR - Kids Welcome!
53469,cozy studio with parking spot
53470,Clean and convenient 2BR apartment
53477,3 floors of luxury!
54466,Beautiful Uptown Manhattan apartmnt
54508,Sml Rm  Brst  PSl great for longer stays Med/Stu
54626,Cozy bedroom by Yankee Stadium
54694,(H) Great Deal/Pvt Rm
54860,Great apartment with private bathroom and entrance
55982,Cozy 2 br in sunny Fort Greene apt
56859,City Room - Private & Comfy Bedroom
57166,Elegant NYC Pad
57297,"Clean & bright 1BR in Cobble Hill, GREAT location!"
57618,"Great new apt, close to everything"
57754,Stylish Large SPARKLING Gramercy Loft!
57874,The Brownstone-Luxury 1 Bd Apt/NYC
57901,Huge Room - Doorman Luxury Building
58059,Private Room on Historic Sugar Hill
58062,South Slope Green
59014,"Spacious 1BR, Adorable Clean Quiet"
59121,"Nice, clean, safe, convenient 3BR"
59709,"Artistic, Cozy, and Spacious w/ Patio! Sleeps 5"
59855,One bedroom Apt. in NYC
60164,"Beautiful, elegant 3 bed SOHO loft"
60457,Spacious Greenwich Village Apt
60611,SpaHa Studio Monthly Rental
60666,City Room - Private Luxury Suite
60673,Private Room/bath Luxurious Harlem
60680,"Bright, High Ceiling, Spacious & Cozy 1BR - Enjoy!"
60794,"Bright and spacious, garden below!"
61167,No longer available
61509,"Quiet, clean midtown apt w. elevato"
62427,Great East Village Apartment Rental
62468,"Great Apt, Great Location"
62891,Smallest House In The Village
62903,Beautiful modern studio apartment in heart of NYC
62925,Beautiful Landmarked Duplex
63588,LL3
63610,DOMINIQUE'S NY mini efficiency pad*Free St Parkng*
63657,"Private, Large & Sunny Top Floor Apt  w/W&D"
63693,Cottage in the Village
64000,Williamsburg loft bunk bed   l
64015,Prime East Village 1 Bedroom
64107,BROOKLYN  STUDIO APARTMENT
64314,cozy bedroom in lovely garden apt
64365,Crown Heights Garden Apt.
64837,ENJOY Downtown NYC!
65268,Share a HOME - $75 for 1 bdrm/++ for 2 - Brooklyn
65425,Entire 2 Bedroom Apartment
65615,Farmhouse Apartment in Williamsburg
65660,Bright+Spacious Williamsburg Abode!
65813,"Suite Sugar Hill, Harlem, Private Rm in Hosted Apt"
66008,CHARMING CARROLL GARDENS APT.
66251,East Village Loft with Piano & Patio
66275,Lower East Side Magic Apartment Entire Apartment!!
66718,West Harlem Home Base - Eco-Apt.
66741,Charming Garden Apt in Park Slope
66974,"Lovely, Modern, Garden Apartment"
67288,Central Park 1BR sunny condo
67299,Cozy Garden Apartment  in Williamsburg
67397,SoHa comfort-by NW Central Park!
68253,Room in the heart of Astoria
68735,Prewar Penthouse w Private Terrace
68900,Bright Beautiful Brooklyn
68974,Unique spacious loft on the Bowery
69894,"Nice renovated apt, prime location!"
69921,Brooklyn Writer's Nook
71248,Bright and lovely 1 bdrm apt in LES
71366,Beautiful One Bed West Village - 4 Month Special
71384,Gigantic Private Brooklyn Loft!
71812,Condo Apartment with Laundry and Assigned Parking
72190,1BR: See Central Park from Terrace!
74240,French Garden cottage off Bedford
74333,Alcove Studio w/ outdoor Patio Deck
74438,Luxury HiRise XL 1BR Skyline views
74680,One Bedroom Mini studio - Free WIFI
74821,Deluxe Harlem 2 Bedroom
74860,"Sunlit and Cozy Williamsburg/Greenpoint, Brooklyn"
75635,Bright Cozy Chinatown Studio Apt.
77517,Room in Willyburg Loft (Only Long Stays)
77765,Superior @ Box House
80493,Cozy room in East Village with AC
80684,Duplex w/ Terrace @ Box House Hotel
80700,Loft w/ Terrace @ Box House Hotel
80924,Spacious 3 Bedroom Duplex in Park Slope
81739,Loft w/ Terrace @ Box House Hotel
82549,Columbia Castle in Brooklyn Heights
82550,Columbia Castle 2 BR
82928,BEAUTIFUL 2 BEDROOM APARTMENT
83243,Brooklyn Cove 1 Br Apt w/ Garden In Bushwick!!
83446,Ft. Greene gem with back yard & private entrance
83847,East Village Designer's 1-BR APT
84010,Superior @ Box House
89205,Spacious and sunny 1bedroom. apt. East Village
89621,868 sleep 4
93313,MAISON DES SIRENES 2
94035,"Modern, Safe, Clean, Bright Room in Astoria for 2"
94209,Large Sunny 1BR (Conv 2BR) Apt in Crown Heights Bk
94477,The Vernon On Greene
94783,"Beautiful, Bright’s, Warm & Spacious 1.5BR Apt"
95747,Lovely 1BR in Tree-lined WBurg
95883,Spacious Loft in Clinton Hill
98663,Groovy NYC Chelsea Pad
99085,Sunny Bklyn Jewel  Fort Greene
99662,Your Cozy Home - Center of New York
100002,"MANHATTAN Cozy, Neat, Nice, Bright ROOM"
100186,Large Brand New Park Slope 1BR
100368,Greenwich Village Brownstone -- Huge Private Deck
101053,Colorful Artistic Williamsburg Apt w/ 3 Bedrooms
103161,Cozy+well equipped top fl apt - PRIME Williamsburg
103311,2 BR w/ Terrace @ Box House Hotel
105469,surf/stay
105790,Holiday special near Columbia Univ!
106363,Bright Room With A Great River View
106647,Tree lined block modern apartment
107630,Sweet Historic Greenpoint Duplex
110576,Historic House of Music & Art NYC!
110739,"Nomad/Chelsea Loft Studio, big work space, 2 desks"
112100,Sunny 3BR Apt Ideal for Family
112304,Cozy Private Room in West Harlem!
112435,ALL ABOUT A VERY COMFORTABLE ROOM..
113092,Rm in Beautiful Luxury Apt. Bldg
113265,Brooklyn- Crown Heights Garden Apt.
114123,Large Park Slope Townhouse Duplex
115535,Sun-Drenched Hamilton Hts Jewel
115748,1 BDRM Apt-Weekend Sublease
116551,Beautiful Harlem Studio Apartment - private access
118061,Style in Stuyvesant Heights
121687,Spacious Brooklyn Loft - 2 Bedroom
121861,"Park Slope Apt:, Spacious 2 bedroom"
123784,NYC Studio for Rent in Townhouse
125163,Authentic New York City Living
126443,"Massive Duplex, 2BR & 2BTH East Village 9+ Guests"
126816,Gorgeous Upper West Side Apartment
127387,"Luxe, Spacious 2BR 2BA Nr Trains"
132516,Forest Hills 1 bedroom / 20 mins to midtown.
133025,Midtown cozy convenient
134934,Prime Williamsburg Apartment
135393,Spacious Private Room in Brooklyn
135465,Garden apartment close to Manhattan
135706,Boho Studio
136493,"Historical home w/ exceptional space, light & art"
139624,"Spacious,Sunny, private one bedroom"
140133,Truly Amazing Oasis In The City
140973,East Village Charmer
141154,Affordable Furnished Apartment
141335,Architect's Brownstone
142069,"EAST VILLAGE STUDIO, sunny & quiet"
144087,LUXURY OF THE HORIZON
144148,1 Bdrm in 4 Bdrm dupelx/roof deck
145064,The Heart of Prime Williamsburg
148201,NYC - Sunny Greenwich Village 1br
148259,Garage Studio Designer Loft
148825,Best City Area Columbia U Upper West Side C Park
149287,Your own apartment off Park Avenue
149787,Full Floor Brownstone
150804,Colorful 2+ Bedroom Apt. on NYC's Lower East Side
150989,"Sunlit 1 bedroom apt: Williamsburg, Brooklyn"
151199,Clean Astoria-Private Home NYC
152071,Park Slope Apartment
152263,Cozy apartment in a brownstone
153780,Private E. Village Townhouse Stay
154934,Harlem/Hamilton Heights Cozy Room
157673,Large  Loft Style  Studio  Space
158061,Hancock Town House!-Stuyvesant Mews
158176,Entire Apt in Heart of Williamsburg
159749,Purple Room for 2/3 in brownstone $1450 per month
159815,Red Room for two in Brownstone for $1355/mo
159913,"Chelsea living, 2BR best location"
162493,Prime Williamsburg 3 BR with Deck
162508,Beautiful Brooklyn Oasis
166006,Nice Manhattan Apt Near Central Park and Subway
166172,Private Stay In Peaceful Artist Apartment
166983,"3 BR, Beautiful Brooklyn Duplex"
168123,"Sunny, quiet, legal homelike suite-Pk Slope South"
169306,Affordable & Cozy
169464,Creative Vintage Loft in S. Williamsburg
169483,Very close to Downtown Awesome Private Apartment
170420,The Happy home!
170761,"Fort Greene, Brooklyn: Front Bedroom"
171562,Chelsea studio with balcony & views
172499,Beautiful UES Family Apartment
173151,Spacious Room
174966,Luxury 2Bed/2.5Bath Central Park View
176653,East Village bedroom w rooftop
177495,"PRIME, Luxury, Spacious 2 Bedroom Apt in Chelsea"
177606,Spacious Junior One Near NYU Hospital/Reduced $
179670,High-end doorman bldg in the LES
179741,Spring st SoHo Apartment
182069,Cozy studio Apartment in Upper East
182177,A PRIVATE FLAT / APARTMENT- $SPECIAL$
187986,Comfort at Crossroads of Downtown
188674,UNION SQUARE/ E. VILL 1BR BEAUTIFUL
189135,Hell's Kitchen Funky 80s Hideaway!
189181,Room in Chic Modern High Line Luxury- New!
189732,Family & Friends in New York City
189787,Spacious & Comfy BK Brownstone
190267,Large Luxury Upper East Side Studio
190968,Lovely Brooklyn Brownstone 1BR!
190974,Beautiful Grdn. Apt. in Park Slope
191541,contemporary design in times sq
195123,"Cheerful, comfortable room"
195233,Precautions You Didn't Think Of? By Prospect Park!
195240,Covid Clean since '11!
195989,"Sunny, Large, Park Slope Bedroom"
197753,Large room in elevator drman bldg
197942,"Private, Comfy, Cozy, Brooklyn close to Manhattan"
198028,#7 train at your door/ next stop MIDTOWN
200645,Best Manhattan Studio Deal!
200955,Stylish East Village Flat
201992,Serene Park Slope Garden Apartment
202273,Cozy and spacious - rare for NYC!
203901,Beautiful UES apartment
204065,St. James Place 1.5-2bdrm 1block to PRATT & Gtrain
205485,Ideal Brooklyn Brownstone Apartment
205867,Private Entrance - Private Parking
206316,"Sunny, Spacious Studio in Ft.Greene"
206772,Williamsburg Exposed Brick Loft
206957,Bright Modern Charming Housebarge
208122,Fantastic Lower East Side Studio
208148,Central Bedford Avenue Apartment
208889,Welcome to Brooklyn! Bed-Stuy
209310,"Subway, City Views, Elevator, Large Private Room"
211078,Greenpoint Waterfront Loft
212109,2-bedroom share in heart of Greenwich Village!
212544,Quiet One Bedroom in Park Slope
213330,Master Bedroom - Unbelievably RARE Penthouse Oasis
214917,New Clean Spacious Bed & Breakfast
215560,"Sunny, calm room in Victorian home"
216080,Spacious & Sunny Safe Haven
218358,Your Haven in the Upper West Side
219066,"Wonderful Studio In Brooklyn, NY!!!"
219922,"Lovely Bdr in Harlem, Manhattan"
220563,Lovely HUGE Master Bed + Study
220946,Newly Reno’d Chic Quiet Exec 1BR
222304,BEST DEAL IN CHELSEA 1 bdrm NYC
222913,Cozy two bedroom in L.E.S.
223930,Lovely Apartment
224004,Artsy Loft-like Harlem Apartment
225306,Charming room in Victorian home
225354,charming alcove studio with balcony
225976,Cozy multi-leveled apartment!
226021,Sunny 2 bdrm W'burg Duplex w/ 3 beds. 5* superhost
227495,Great studio apt near Central Park
227715,WONDERFUL/ SLEEP 4 APARTMENT  IN BROOKLYN
228317,"Your Haven Awaits At ""Emma's Place"""
228925,Beautiful Brownstone
230321,Apt with EmpireState view-Subway around the corner
230877,Monthly Apartment Rental
231154,(D) BIG DEAL
232612,"Lovely pied-à-terre, in an historic building"
233189,NYC Studio in Heart of Times Square
233638,rooms for rent in Queens with piano
234330,Bright + Near Central Park + Columbia University!
235281,Modern Luxury Apt- Lower East Side
235515,Welcoming Small Comfortable Room!
235552,HUGE Sunny Duplex Loft with Garden
235651,LARGE ARTSY Room w/ Loft Bed 4 DOOGLERS!
235951,Stylish Studio with exclusive Terrace
235960,"LES private apt, 1 bedroom & more"
236671,"Williamsburg Garden Home, 5 minutes from Manhattan"
237210,Manhattan Loft in Prime East Village Location
239733,Astoria Garden Suite
239826,"Amazing 1 bed, live like a Newyorkr"
239899,Spacious & Charming by Prospect Pk
239934,Designer's 2 BR in the heart of the East Village
240800,Private Room Near Brooklyn Museum
242643,"Spacious 1br, Sleeps 4 comfortably, dishwasher, TV"
244649,"Upper West: Large room, one block to Subway!"
245544,NY/ Big Room for 2 near Manhattan
245574,Brooklyn Brownstone apartment
246351,"Sweet Apt, Steps From Gramercy Park"
247562,ROOM WHITH PRÍVATE BATHROOM
248865,Studio Loft
248871,4 Bedroom-2 Bath West Duplex Townhouse
249414,Large & bright 900ft² 1br in WV
249618,At a very nice area in the WestSide
249704,"Sunny, Modern 1 BR in Williamsburg"
249867,HANCOCK VERY SMALL ROOM
250259,Pre-War Williamsburg Loft
250323,SPACIOUS PRIVATE LITTLE ITALY FLAT
250536,The Lenox in Harlem
250537,The Lenox in Harlem
251277,Private Bdrm /Bath 1 block Ctrl Prk
252865,"""BEST PLACE TO LIVE"" in NYC, North Park Slope"
253466,Studio Loft
253471,Studio Loft
253475,Studio Loft
253590,Large 1 Bedroom furnished on UWS
253800,Studio Loft
253803,Studio Loft
253806,Studio Loft
253811,Studio Loft
253815,Studio Loft
253828,Duplex w/ Terrace @ Box House Hotel
253839,Loft w/ Terrace @ Box House Hotel
253846,Superior @ Box House
254168,2 BR Duplex @ Box House Hotel
254409,Husband & Wife Art-Filled Apartment
255476,Vegan & Vaccinated Wburg Share! 2b/ba w Priv Deck!
255601,Cozy 2 Bedroom 20 Min from City
255637,"Prime Prospect Heights, Brooklyn"
257097,Sunny! 2br Steps to train/restaurants - 15 to NYC
258688,Spacious & Stylish Chelsea One Bedroom Apartment
258690,CHELSEA 1 Bdrm Plus Sleeping Loft!!
258740,Spacious room in beautiful apt!
258838,"Oceanview,close to Manhattan"
258930,"Large, Art & Light Filled Apartment Downtown NYC"
261259,Apartment in Best location in NYC
261674,Chelsea/West Village - 2bdrm apt
261781,1500+ sq ft 2BR West Village Loft
262478,Chic + Stylish room in heart of LowerEastSide NYC!
262583,Landmark 2 Bedroom West Village NYC
263005,2 bedroom apt in charming brick townhouse
263232,Cozy&Clean in a great neighborhood
263502,Prime Williamsburg 1/BD New Condo
263888,Contemporary & Classic Sanctuary on the Hudson
265036,Private room w/ queen bed + rooftop
265145,Studio sublet in Hell's kitchen
265506,Luxury NYC 2 Bedroom with Terrace
266449,2 Bedroom Gem - Prime LES Location
267435,Large Sunny Bedroom in QNS NYC
267652,Private clean spacious room - Across from subway
268335,Modern  Condo w/Luxury Amenities by McCarren Park
268481,Resort-like living in Williamsburg
269283,Brooklyn: A Huge Bedroom + Good Vibes
269404,"Master Bedroom Avaliable, Astoria"
269889,One stop from Midtown Manhattan!
270139,"Private Room Very Near L train, Bushwick"
270231,Cozy New York  City private room
270315,Bed-stuy Royal Room
270345,DESIGNER EAST VILLAGE APARTMENT
271694,"Easy, comfortable studio in Midtown"
272026,1 Bd. MANHATTAN NY Entire Apt. 1 yr-6 months min.
272044,Luxury Designer Home Downtown Manhattan
273190,6 Bedroom Landmark West Village Townhouse
274329,Fantastic 1-bedroom basement apt.
274376,"Private Clinton Hill, Brooklyn Apt"
274743,Charming furnished Studio-Loft
274995,Spacious 1 bed near subways/park
275976,Lovely and very comfortable 2 bedroom apartment
276317,"The Carlton, Brooklyn brownstone Duplex w/ garden"
276994,charming 2BR apartment off Broadway
277207,Beautiful lrg 1800's syle apt share
277883,Sunny Entire Apt with Romantic Bedroom
278090,Furnished room for rent - Manhattan
278145,Large Room in a Huge NY apartment.
278631,West Village NYC Sun-filled Studio!
278876,"Large, furnished room in a 2 bedroom!"
280315,Crown Height's Brooklyn Cozy Apt
281521,Amazing West Village 2br
281756,Authentic NY Charming Artist Loft
281851,Beautiful Private Bedroom - Downstairs
282977,Park Slope Brooklyn!  Sunny Bedroom.
283072,One bedroom sharing Bathroom
283550,Hells Kitchen Ground Fl 1-bedroom
284855,Charming Apt in the Best Location!
285515,SoHo Shopping Headquarters!
286662,Charming Brooklyn Studio
286838,Private Room in Brownstone
287397,Bed Stuy Pride! Welcome to Brooklyn
287408,Lovely Hell's Kitchen Studio...
287421,"Cozy, Clean Cobble Hill Brownstone"
287845,Carroll Gardens Gem-2BD with Garden
288726,Cozy Railroad Apt.
289020,Sunny 1BR Center of East Village!
289665,Decorators 5-Star Flat West Village
289703,Beautiful SoHo Luxury Apartment
290123,"6th Ave with Piano! Large 1-Bedroom, Furnished"
292121,1 bedroom apt in Midtown West
292266,Sunny & spacious bedroom in Brooklyn
292637,Beautiful Spacious One Bedroom
292800,"Sunny, Quiet West Village/Meatpacking 1BR Gem"
293837,Artsy Williamsburg  Retreat /Music & Vintage Lover
294227,Studio Loft
294242,Studio Loft
294250,Beautiful New Garden Apartment
294259,Studio Loft
294263,Studio Loft
294280,Studio Loft
294490,Studio Loft
295231,"Sunny, clean br available"
295998,Panoramic View Central Park & NYC
296361,Nice Private Room Beauty in Queens
296717,"Cozy Corner, Bedford Ave  Brooklyn!"
297611,Inexpensive apartment in exchange for cat-care
298759,Large Double Room  Queenbed Wifi
298782,Private single bed Room Wifi
299062,1 Bdrm in 2 Bdrm Apt in Upper East Lux Drmn Bldng
299078,Charming 1BD in SoHo
301372,room with very nice view in Brooklyn
302057,Sunny private room featured in film
302238,GORGEOUS TWO BEDROOM FLAT IN MANHATTAN
302280,FABULOUS 1 BEDROOM IN MANHATTAN
302309,PLUSH AND SPACIOUS 2-BEDROOM IN NYC
302705,Wonderful Room on the UES 2
302758,Sunny 1BR East Harlem Apartment
303264,FABULOUS & LARGE 2 BEDROOM IN NYC!
305211,Your own 2 Bedroom Bedford and Grand Williamsburg
305245,BEAUTIFUL 2-BEDROOM TOWNHOUSE NYC
306702,Spacious + Sunny Studio in Ft. Greene Brooklyn!
306799,2 rooms; private entrance & bath!
310272,"Private Room in Artist's Home, Stapleton, SI"
310325,Large Sunny Bedroom with Bay Window
310524,Clinton Hill Duplex near Pratt w/Balcony!
311003,"2 BD / 2BA WITH GARDEN, SLEEPS 6"
311316,Welcome to Harlem New York
311356,Charming Ridgewood Soulful  Walk-Up
312415,Cool! Your Own Times Square Room!
312429,"Comfortable, well-appointed room"
314982,Share in NYC's trendy East Village
318021,Room in Huge 1200sf W Harlem Suite
319646,Bright and Cosy 2 Bedroom apt
319798,Peaceful Room...
320877,Entire 2 Bedroom Apartment in Williamsburg
321014,Big Bright E Village 2BR (Baby Nursery)
321136,"Private Manhattan Studio- clean, safe, convenient!"
322037,"Luxury Williamsburg, Brooklyn LOFT"
323453,Brooklyn Design Loft
324800,Real Williamsburg Artist Loft
325429,Upper East 1 BDRM Great Location!
326832,Cozy Upper East Side Studio
328040,"Awesome views, Central location"
328744,"Beautiful 2bd Apt near BK Museum, Crown Heights"
328788,Private Room in Williamsburg Loft
329310,Creative Director's Chinatown Loft
333323,Cozy bedroom near Times Square
334607,Artist's Flat in Historic Building #10263
334781,Queen size sofa bed in Harlem
341525,Studio Apt with Masterbedroom and Walk in Closet
342995,Unique private room and bathroom in Brownstone
343276,Large Private Midtown Room!
343971,Beautiful Room in a Beautiful New NYC Apartment
344082,Quiet Artsy 1 Bedroom Midtown Apt!
344092,"Heavy Sun, Quiet, Arty 1 Bedroom"
346579,NYC Lower East Side 1 BR + office
350168,Artist apt in Park Slope w/backyard
351530,Gorgeous Park Slope Parlor Floor Apartment
351859,Exquisite Spacious Studio in Midtown
352651,COMFORTABLE LARGE ROOM
353317,Lower East Side 1bedroom apt in NYC
354095,Large Beautiful East Village 1-Bdrm
355106,Big room near Prospect Park! NY!
361803,"Luxury, Adorable Studio Apartment"
363016,2 bdrm  Entire Furnished Apt.  (R)
364785,Sunny large private room in Park Slope
365439,cozy SoHo apt-great location
367810,Private room in Manhattan View Artistic Loft
369409,TRAVELERS OASIS IN MID-TOWN MANHATTAN
373618,Authentic designer loft/roof deck best Williamsbrg
374548,Sunny Retreat with Roof Garden
378460,Cozy 2 BD in Midtown West
380416,Park Slope Sunny Studio
380730,Luxury L-Shape Studio + 3 cats
382523,A cozy Red Room with private bathroom
382524,Cozy room with private bathroom & outside garden
385657,Beautiful Loft/10 min to Manhattan!
385824,New York City- Riverdale Modern two bedrooms unit
386507,"Stylish, Cool Apt in Harlem"
386555,A PLACE TO STAY CLOSE TO MANHATTAN
386744,Great room priv/bathrm Eastside location 70's ST
386799,Midtown NYC - 1 Bedroom Apartment
387666,Historic townhouse in convenient location
389482,Quaint & Quiet in Queens
392948,Williamsburg  /artist bunk small
393094,Designer studio in Luxury Building
394111,"Beautiful Bedrooms in Briarwood, NY"
396636,Stylish Designer Studio with Piano
397034,New York City for All Seasons!
397297,STUNNING E Vill Penthouse
398850,One-Bedroom/Madison Square Garden
399946,Light Superhosted Chill LES Apt
400039,Big Beautiful Railroad in Brooklyn
403668,"Gorgeous Sunny, Spacious 1 bdrm in East Village"
403712,SUPER APARTMENT GREAT AREA EV!!!
404923,Private Garden Entry
405025,LUXE Apt & Garden (Sanitized)
407469,BROWNSTONE TWO IN BROOKLYN in NYC
408491,Charming West Village One Bedroom
408983,Brooklyn Brownstone full floor ProspectPark 900sft
409262,"Family friendly, steps to subway & a terrace!"
409666,"1 bdr apt, sunny & artsy, 4 min walk to the beach"
411918,"3 BR apartment Crown Heights, BKLYN"
412061,Brownstone Sunny & Spacious top fl
413504,Perfect NYC/Williamsburg Location
415304,Cute east village apartment.
416557,"All Charm: Lush Garden, Huge Kitchen, Cat, Peace"
417685,Bright and Quiet 2 BR in Park Slope
419373,Stylish Loft
419792,Great Apt IDEAL Location 900 SF
421539,Renovated Apartment with Balcony Minutes from Mount Sinai & Central Park!!!
423015,"Cozy Private One Bedroom, Brooklyn"
423275,Cozy & SPacious in d heart Astoria
430427,"Very clean, quiet bedroom available"
430665,Lux One-bed Central Park View UWS
432090,Only 5 Min. to Manhattan!
433218,Lovely 1 bdrm in Prospect Heights!
433414,Spacious & Sunny in Prime Brooklyn
435909,Sunny West Village Dream
436916,Room for the Summer
437352,"Clean, sunny 2BR in Brooklyn's Nicest Area"
437906,GREAT 1BR/2BA TERRACE & W/D! in EV!
438513,Big Beautiful Brooklyn Apt @ Park!
439750,Perfect apt. above L train Graham stop
439870,"Gorgeous Park Slope, BK triplex 4BD"
442649,Lovely Chelsea 1 Bedroom
444171,Upper Duplex in Brooklyn Brownstone
444430,comfy room minutes from museums
447766,"Great 1 BR Apt in Kips Bay, NY"
448048,"1 BR, Book it 1st then write me"
448049,"No Inq,Read it, 1 BR, Rt of Subway,"
449034,Spacious Loft 5 min to Union Square
449660,Art & Music Salon
449680,Artfully Decorated 2 Bedroom Apt
450577,1 bdrm brownstone-west 70's-1 block Central Park
450578,Serene Room...
452068,"Spacious 4 bedroom house, New York"
452541,Brooklyn Apartment Windsor Terrace
453094,Bedroom With Own Bathroom and Backyard
453255,"Exciting Lower East Side, Loft Life"
453317,Large Room w/ Private Entrance
454334,Private spacious studio available
454763,For Cat-Lovers ONLY
455734,"Sunny, spacious 1-bedroom in Upper Manhattan"
455801,"NYC APT- COMFY, WELCOMING STAY! Private rooms"
456110,Beautiful One Bedroom in Chelsea
456190,"West Village Loft, 1st floor"
456457,West Village Gem - 2BR
456526,Central Harlem Comfy Bedroom with Private Bath
457829,Beautiful apartment in the heart of The Village
459066,******AMAZING DEAL IN NYC*****
460999,Beautiful duplex apt in Harlem
462454,Beautiful Lower East Side Apt!
463042,Stylish 1BR in the heart of Nolita
463107,Historic 3 Bedroom Eastern Parkway
464231,Large Room w/ Private Entrance
465706,West Side-C Park-Columbia Convenient & Quiet
466277,W'burg 2 bdr w/ yard. Close to L. 100+ 5* reviews.
466457,"Bright, Bedstuy Gem"
467569,Curated 1BR on the prettiest block of the LES
467634,yahmanscrashpads
467866,"Our NY home, Greenwich Village apt"
468613,$1300 5/14 - 6/1 - 3 weeks - room f
470498,*Unique Master BR in Battery Park!*
471712,Beautiful Sunny Apartment in South Harlem
471758,TriBeCa Amazing River View Loft 3BR
471845,Gorgeous Summer Duplex/Yard sublet
471914,Brooklyn one-bedroom right by Prospect Park!
474283,Studio apartment by Columbus Circle
476899,NYC studio in St Marks Place & 1 Ave
476983,"Private Room in Spacious Quiet Apt., Elevator Bldg"
